benchmark,dtype,mode,streams,repeat,loop_iters,unroll,total_mma,cycles,cycles_per_mma,sink_lo,sink_hi
bench_mma_f16_indep,f16_f16_f16_f16,indep,4,2,4096,2,32768,475191,14.50167847,0,0
bench_mma_f16_indep,f16_f16_f16_f16,indep,4,3,4096,2,32768,475252,14.50354004,0,0
bench_mma_f16_indep,f16_f16_f16_f16,indep,4,4,4096,2,32768,475191,14.50167847,0,0
bench_mma_f16_indep,f16_f16_f16_f16,indep,4,5,4096,2,32768,475252,14.50354004,0,0
bench_mma_f16_indep,f16_f16_f16_f16,indep,4,6,4096,2,32768,475191,14.50167847,0,0
bench_mma_f16_indep,f16_f16_f16_f16,indep,4,7,4096,2,32768,475313,14.50540161,0,0
bench_mma_f16_indep,f16_f16_f16_f16,indep,4,8,4096,2,32768,475191,14.50167847,0,0
bench_mma_f16_indep,f16_f16_f16_f16,indep,4,9,4096,2,32768,475313,14.50540161,0,0
bench_mma_f16_indep,f16_f16_f16_f16,indep,8,0,4096,2,65536,876650,13.37661743,0,0
bench_mma_f16_indep,f16_f16_f16_f16,indep,8,1,4096,2,65536,876650,13.37661743,0,0
bench_mma_f16_indep,f16_f16_f16_f16,indep,8,2,4096,2,65536,876650,13.37661743,0,0
bench_mma_f16_indep,f16_f16_f16_f16,indep,8,3,4096,2,65536,876650,13.37661743,0,0
bench_mma_f16_indep,f16_f16_f16_f16,indep,8,4,4096,2,65536,876589,13.37568665,0,0
bench_mma_f16_indep,f16_f16_f16_f16,indep,8,5,4096,2,65536,876650,13.37661743,0,0
bench_mma_f16_indep,f16_f16_f16_f16,indep,8,6,4096,2,65536,876650,13.37661743,0,0
bench_mma_f16_indep,f16_f16_f16_f16,indep,8,7,4096,2,65536,876650,13.37661743,0,0
bench_mma_f16_indep,f16_f16_f16_f16,indep,8,8,4096,2,65536,876650,13.37661743,0,0
bench_mma_f16_indep,f16_f16_f16_f16,indep,8,9,4096,2,65536,876711,13.37754822,0,0
bench_mma_f32acc,f32_f16_f16_f16,fixedc,1,0,4096,2,8192,376874,46.00512695,0,0
